position,team_name,team_ioc,table_number,round,group,group_full_name,scraped_at,stat_wins,stat_losses,stat_ties,stat_pct,stat_gb
1,Spain,ESP,1,Opening Round,Group A,Group A,2025-07-25T03:03:08.982568,2,0,0,1.0,0
2,Poland,POL,1,Opening Round,Group A,Group A,2025-07-25T03:03:08.982620,1,1,0,0.5,1
3,Sweden,SWE,1,Opening Round,Group A,Group A,2025-07-25T03:03:08.982660,0,2,0,0.0,2
1,Germany,GER,2,Opening Round,Group B,Group B,2025-07-25T03:03:08.982733,2,0,0,1.0,0
2,Croatia,CRO,2,Opening Round,Group B,Group B,2025-07-25T03:03:08.982769,1,1,0,0.5,1
3,Hungary,HUN,2,Opening Round,Group B,Group B,2025-07-25T03:03:08.982802,0,2,0,0.0,2
1,Austria,AUT,3,Opening Round,Group C,Group C,2025-07-25T03:03:08.982864,2,0,0,1.0,0
2,Belgium,BEL,3,Opening Round,Group C,Group C,2025-07-25T03:03:08.982897,1,1,0,0.5,1
3,Türkiye,TUR,3,Opening Round,Group C,Group C,2025-07-25T03:03:08.982931,0,2,0,0.0,2
1,Croatia,CRO,4,Opening Round,Group F,Group F,2025-07-25T03:03:08.982999,2,2,0,0.5,1
2,Belgium,BEL,4,Opening Round,Group F,Group F,2025-07-25T03:03:08.983032,3,1,0,0.75,0
2,Sweden,SWE,4,Opening Round,Group F,Group F,2025-07-25T03:03:08.983065,2,2,0,0.5,1
4,Hungary,HUN,4,Opening Round,Group F,Group F,2025-07-25T03:03:08.983098,2,2,0,0.5,1
4,Poland,POL,4,Opening Round,Group F,Group F,2025-07-25T03:03:08.983132,2,2,0,0.5,1
6,Türkiye,TUR,4,Opening Round,Group F,Group F,2025-07-25T03:03:08.983165,1,3,0,0.25,2
1,Czechia,CZE,5,Opening Round,Group X,Group X,2025-07-25T03:03:08.983229,4,0,0,1.0,0
2,Netherlands,NED,5,Opening Round,Group X,Group X,2025-07-25T03:03:08.983262,3,1,0,0.75,1
3,Spain,ESP,5,Opening Round,Group X,Group X,2025-07-25T03:03:08.983295,2,2,0,0.5,2
4,Great Britain,GBR,5,Opening Round,Group X,Group X,2025-07-25T03:03:08.983327,1,3,0,0.25,3
5,Israel,ISR,5,Opening Round,Group X,Group X,2025-07-25T03:03:08.983360,0,4,0,0.0,4
1,Italy,ITA,6,Opening Round,Group Y,Group Y,2025-07-25T03:03:08.983425,5,0,0,1.0,0
2,Ireland,IRL,6,Opening Round,Group Y,Group Y,2025-07-25T03:03:08.983459,4,1,0,0.8,1
3,Germany,GER,6,Opening Round,Group Y,Group Y,2025-07-25T03:03:08.983493,2,3,0,0.4,3
3,Ukraine,UKR,6,Opening Round,Group Y,Group Y,2025-07-25T03:03:08.983525,2,3,0,0.4,3
5,Austria,AUT,6,Opening Round,Group Y,Group Y,2025-07-25T03:03:08.983566,1,4,0,0.2,4
5,France,FRA,6,Opening Round,Group Y,Group Y,2025-07-25T03:03:08.983601,1,4,0,0.2,4
